"year","month","date","week","city","shop_name","model","type","quantity","sales_price","amount","source","proper_date","city_2"
2024,"JANUARY","02/Jan",1,"NAIROBI","ABDI WALI HIISH","OCD-C53","CABLE",15,135,2025,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","ABDI WALI HIISH","OCD-M53","CABLE",20,85,1700,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","ABDI WALI HIISH","OCD-M53","CABLE",200,85,17000,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","ABDI WALI HIISH","OCW-U66S+C53","CHARGER KIT",15,385,5775,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","ABDI WALI HIISH","OCW-U66S+C53","CHARGER KIT",15,385,5775,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","ABDI WALI HIISH","OCW-U66S+M53","CHARGER KIT",5,385,1925,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","ABDI WALI HIISH","OCW-U66S+M53","CHARGER KIT",50,370,18500,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","ABDI WALI HIISH","OCW-U66S+M53","CHARGER KIT",20,385,7700,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","ABDI WALI HIISH","OCW-U66S+M53","CHARGER KIT",20,385,7700,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","ABDI WALI HIISH","OEP-E11","EARPHONE",100,170,17000,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NYERI","ACACIA","OEP-E11","EARPHONE",100,170,17000,"NOORTECH",2024-01-02,"NYERI"
2024,"JANUARY","02/Jan",1,"MOMBASA","ARNESS ENTERPRISES","OCW-U37SP+M53","CHARGER KIT",1000,250,250000,"LIMISIKA",2024-01-02,"MOMBASA"
2024,"JANUARY","02/Jan",1,"NAIROBI","BLAC &WHITE ENTERPRISES","OCD-M53","CABLE",600,90,54000,"LIMISIKA",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","BLAC &WHITE ENTERPRISES","OCD-C53","CABLE",112,135,15120,"LIMISIKA",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","CASH SALE","OCW-U66S+C53","CHARGER KIT",50,385,19250,"CENTURY DREAM",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","CASH SALE","OCD-C53","CABLE",20,135,2700,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","CASH SALE","OCD-L53","CABLE",224,145,32480,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","CASH SALE","OCD-M53","CABLE",5,90,450,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","CASH SALE","OCD-M53","CABLE",20,90,1800,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","CASH SALE","OCW-U66S+C53","CHARGER KIT",10,385,3850,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","CASH SALE","OCW-U66S+C53","CHARGER KIT",1,390,390,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","CASH SALE","OCW-U66S+C53","CHARGER KIT",1,390,390,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","CASH SALE","OCW-U66S+L53","CHARGER KIT",1,420,420,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","CASH SALE","OCW-U66S+M53","CHARGER KIT",30,385,11550,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","CASH SALE","OCW-U66S+M53","CHARGER KIT",1,390,390,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","CASH SALE","OCW-U66S+M53","CHARGER KIT",1,390,390,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","CASH SALE","OEP-E11","EARPHONE",5,175,875,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","CASH SALE","OEP-E11","EARPHONE",20,175,3500,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI  OSMAN","CITY FONE","OCW-U37SP+M53","CHARGER KIT",1500,250,375000,"LIMISIKA",2024-01-02,"NAIROBI  OSMAN"
2024,"JANUARY","02/Jan",1,"KILIFI","CVIQUE SOLUTIONS","OCD-M53","CABLE",200,90,18000,"LIMISIKA",2024-01-02,"KILIFI"
2024,"JANUARY","02/Jan",1,"KILIFI","CVIQUE SOLUTIONS","OCD-C53","CABLE",112,135,15120,"LIMISIKA",2024-01-02,"KILIFI"
2024,"JANUARY","02/Jan",1,"KILIFI","CVIQUE SOLUTIONS","OCW-U37SP+M53","CHARGER KIT",100,250,25000,"LIMISIKA",2024-01-02,"KILIFI"
2024,"JANUARY","02/Jan",1,"KILIFI","CVIQUE SOLUTIONS","OCW-U66S+C53","CHARGER KIT",50,385,19250,"LIMISIKA",2024-01-02,"KILIFI"
2024,"JANUARY","02/Jan",1,"KILIFI","CVIQUE SOLUTIONS","OCW-U66S+M53","CHARGER KIT",50,385,19250,"LIMISIKA",2024-01-02,"KILIFI"
2024,"JANUARY","02/Jan",1,"KILIFI","CVIQUE SOLUTIONS","OEP-E11","EARPHONE",100,170,17000,"LIMISIKA",2024-01-02,"KILIFI"
2024,"JANUARY","02/Jan",1,"KARATINA","DANTECH","OCW-U66S+M53","CHARGER KIT",50,385,19250,"NOORTECH",2024-01-02,"KARATINA"
2024,"JANUARY","02/Jan",1,"KARATINA","DANTECH","OEP-E11","EARPHONE",100,170,17000,"NOORTECH",2024-01-02,"KARATINA"
2024,"JANUARY","02/Jan",1,"NAIROBI","ESTHER","OCD-M53","CABLE",10,90,900,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","ESTHER","OCW-U66S+C53","CHARGER KIT",5,390,1950,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"NAIROBI","ESTHER","OCW-U66S+M53","CHARGER KIT",5,390,1950,"NOORTECH",2024-01-02,"NAIROBI"
2024,"JANUARY","02/Jan",1,"ELDORET","GACHOKA","OCD-C53","CABLE",112,135,15120,"CENTURY DREAM",2024-01-02,"ELDORET"
